,Year,Ceftazidim,Ciprofloxacin,Gentamicin
4530,2006,32.0,37.0,27.0
4531,2006,28.0,36.0,27.0
4532,2006,32.0,39.0,26.0
4533,2006,31.0,39.0,27.0
4534,2006,33.0,39.0,25.0
4535,2006,36.0,39.0,25.0
4536,2006,33.0,37.0,27.0
4537,2006,33.0,38.0,26.0
4538,2006,32.0,38.0,26.0
4539,2006,33.0,36.0,27.0
4540,2006,32.0,14.0,13.0
4541,2006,33.0,37.0,24.0
4542,2006,30.0,38.0,26.0
4543,2006,30.0,38.0,28.0
4544,2006,32.0,38.0,28.0
4545,2006,32.0,38.0,27.0
4546,2006,30.0,38.0,26.0
4547,2006,28.0,38.0,26.0
4548,2006,32.0,38.0,26.0
4549,2006,32.0,36.0,27.0
4550,2006,32.0,36.0,28.0
4551,2006,30.0,36.0,28.0
4552,2006,30.0,38.0,27.0
4553,2006,32.0,38.0,26.0
4554,2006,32.0,38.0,28.0
4555,2006,32.0,38.0,27.0
4556,2006,32.0,36.0,25.0
4557,2006,30.0,36.0,26.0
4558,2006,32.0,36.0,26.0
4559,2006,32.0,38.0,27.0
4560,2006,34.0,40.0,26.0
4561,2006,30.0,36.0,26.0
4562,2006,29.0,27.0,27.0
4563,2006,32.0,36.0,26.0
4564,2006,34.0,38.0,27.0
4565,2006,32.0,30.0,19.0
4566,2006,30.0,38.0,28.0
4567,2006,36.0,38.0,28.0
4568,2006,32.0,38.0,28.0
4569,2006,30.0,6.0,22.0
4570,2006,32.0,36.0,27.0
